Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_0,89.7122929380994,0.8873520982515213,0.9153196276401272,0.6703910614525139,0.967741935483871,0.8741573033707866,0.778,1.0,1.0,0.961038961038961,0.961038961038961
model_1,87.1839581517001,0.8517983163010706,0.9008907606612103,0.544891640866873,0.9887640449438202,0.8568281938325991,0.750965250965251,1.0,1.0,0.9005847953216374,0.8191489361702128
model_2,86.05056669572798,0.8350954891195589,0.8938641157963486,0.4838709677419355,0.9868421052631579,0.8577728776185226,0.7524177949709865,1.0,1.0,0.8324324324324325,0.7129629629629629
model_3,90.409764603313,0.8952401762596023,0.9210654045286354,0.6961325966850829,0.984375,0.884090909090909,0.7938775510204081,1.0,1.0,0.95,0.9156626506024096
model_4,91.0200523103749,0.9024612424883224,0.9243397951172112,0.7208672086720868,0.9851851851851852,0.9012775842044135,0.8237791932059448,1.0,1.0,0.8953488372093024,0.8105263157894737
model_5,85.26591107236268,0.8224070222953039,0.8920782516537403,0.43478260869565216,1.0,0.8405172413793104,0.724907063197026,1.0,1.0,0.88,0.7857142857142857
model_6,90.8456843940715,0.9006439030788594,0.9240757959435727,0.7138964577656676,0.9849624060150376,0.8868571428571429,0.8,1.0,1.0,0.9625,0.927710843373494
model_7,90.2353966870096,0.8934473282795152,0.9211533255149793,0.6888888888888889,0.9841269841269841,0.8771138669673055,0.7826961770623743,1.0,1.0,0.9806451612903225,0.9743589743589743
model_8,89.1891891891892,0.8807380773106579,0.9118482397537239,0.6477272727272727,0.9661016949152542,0.8683035714285714,0.7687747035573123,1.0,1.0,0.961038961038961,0.961038961038961
model_8,89.1891891891892,0.8807380773106579,0.9118482397537239,0.6477272727272727,0.9661016949152542,0.8683035714285714,0.7687747035573123,1.0,1.0,0.961038961038961,0.961038961038961
model_9,90.9328683522232,0.9014769307459312,0.924005519182789,0.717391304347826,0.9850746268656716,0.8942528735632184,0.8104166666666667,1.0,1.0,0.926829268292683,0.8735632183908046
model_10,89.1891891891892,0.8802177692573064,0.9120742106192221,0.6457142857142857,0.9741379310344828,0.8689809630459127,0.7713717693836978,1.0,1.0,0.9559748427672956,0.926829268292683
model_11,91.28160418482999,0.9056949807006385,0.926409373028094,0.7311827956989247,0.9855072463768116,0.8983833718244804,0.8172268907563025,1.0,1.0,0.926829268292683,0.8735632183908046
model_12,91.0200523103749,0.9029739284154384,0.9226822227593052,0.7238605898123325,0.9712230215827338,0.8960739030023095,0.8151260504201681,1.0,1.0,0.9202453987730062,0.872093023255814
model_13,86.39930252833479,0.840814096579247,0.8974896050989257,0.5031847133757962,0.9875,0.8432432432432433,0.7289719626168224,1.0,1.0,0.9325153374233128,0.8837209302325582
model_14,87.96861377506538,0.8628245655843022,0.905794551947353,0.5843373493975904,0.9897959183673469,0.8634850166481687,0.761252446183953,1.0,1.0,0.9112426035502958,0.8369565217391305
model_15,90.67131647776809,0.899961425519571,0.9175630541279393,0.7161803713527851,0.9440559440559441,0.9073634204275535,0.8451327433628318,1.0,1.0,0.8415300546448088,0.7264150943396226
model_16,89.97384481255449,0.8904316049041033,0.9141990871417183,0.6831955922865014,0.9612403100775194,0.8822857142857143,0.7958762886597938,1.0,1.0,0.926829268292683,0.8735632183908046
model_17,93.4612031386225,0.9315866960693971,0.9408155282794674,0.8138957816377171,0.9704142011834319,0.9179548156956004,0.8558758314855875,1.0,1.0,0.9620253164556962,0.9382716049382716
model_18,90.9328683522232,0.9021702728776002,0.9218186792010163,0.7238605898123325,0.9712230215827338,0.8922363847045192,0.813953488372093,1.0,1.0,0.927710843373494,0.8651685393258427
model_0,89.7122929380994,0.8873520982515213,0.9153196276401272,0.6703910614525139,0.967741935483871,0.8741573033707866,0.778,1.0,1.0,0.961038961038961,0.961038961038961
model_1,87.1839581517001,0.8517983163010706,0.9008907606612103,0.544891640866873,0.9887640449438202,0.8568281938325991,0.750965250965251,1.0,1.0,0.9005847953216374,0.8191489361702128
model_2,86.05056669572798,0.8350954891195589,0.8938641157963486,0.4838709677419355,0.9868421052631579,0.8577728776185226,0.7524177949709865,1.0,1.0,0.8324324324324325,0.7129629629629629
model_3,90.409764603313,0.8952401762596023,0.9210654045286354,0.6961325966850829,0.984375,0.884090909090909,0.7938775510204081,1.0,1.0,0.95,0.9156626506024096
model_4,91.0200523103749,0.9024612424883224,0.9243397951172112,0.7208672086720868,0.9851851851851852,0.9012775842044135,0.8237791932059448,1.0,1.0,0.8953488372093024,0.8105263157894737
model_18,90.9328683522232,0.9021702728776002,0.9218186792010163,0.7238605898123325,0.9712230215827338,0.8922363847045192,0.813953488372093,1.0,1.0,0.927710843373494,0.8651685393258427
model_19,90.49694856146469,0.8961396920139881,0.9210041160614031,0.699724517906336,0.9844961240310077,0.8878718535469108,0.8016528925619835,1.0,1.0,0.9333333333333333,0.875
model_20,89.36355710549259,0.8830961533989892,0.9098272081054363,0.6610644257703081,0.959349593495935,0.8899188876013905,0.8118393234672304,1.0,1.0,0.8461538461538461,0.7333333333333333
model_21,90.2353966870096,0.89309624572362,0.9179406057780882,0.6906077348066298,0.9765625,0.8865979381443299,0.8012422360248447,1.0,1.0,0.9221556886227545,0.8555555555555555
model_22,94.50741063644288,0.943974021075582,0.9458400036998642,0.8551724137931035,0.9253731343283582,0.9297163995067818,0.8954869358669834,1.0,1.0,0.9615384615384616,0.9493670886075949
model_22,94.50741063644288,0.943974021075582,0.9458400036998642,0.8551724137931035,0.9253731343283582,0.9297163995067818,0.8954869358669834,1.0,1.0,0.9615384615384616,0.9493670886075949
model_23,90.58413251961639,0.8970455327312309,0.9229583632536832,0.7016574585635359,0.9921875,0.887115165336374,0.7987679671457906,1.0,1.0,0.9447852760736196,0.8953488372093024
model_24,88.23016564952049,0.8674558795917958,0.9080058923766867,0.599406528189911,0.9805825242718447,0.8568281938325991,0.750965250965251,1.0,1.0,0.9681528662420382,0.95
model_25,90.409764603313,0.8952401762596023,0.9210654045286354,0.6961325966850829,0.984375,0.884090909090909,0.7938775510204081,1.0,1.0,0.95,0.9156626506024096
model_26,88.31734960767218,0.868284824768553,0.9075786487708557,0.6035502958579881,0.9807692307692307,0.8628318584070797,0.7587548638132295,1.0,1.0,0.9375,0.9036144578313253
model_27,88.92763731473408,0.8765083866963421,0.9117623101358195,0.6318840579710145,0.9819819819819819,0.8663697104677061,0.765748031496063,1.0,1.0,0.9559748427672956,0.926829268292683
